epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,2834.18,0.10016,0.87327,0.97413,0.50145,0.002575,0.002575,0.002575
77,2870.95,0.1044,0.87352,0.97488,0.50006,0.002476,0.002476,0.002476
78,2907.14,0.11054,0.8734,0.97388,0.50302,0.002377,0.002377,0.002377
79,2945.19,0.09619,0.87415,0.97475,0.50079,0.002278,0.002278,0.002278
80,2983.78,0.09758,0.87439,0.9755,0.49468,0.002179,0.002179,0.002179
81,3021.76,0.0921,0.87377,0.97525,0.49404,0.00208,0.00208,0.00208
82,3058.16,0.10013,0.8734,0.97562,0.48917,0.001981,0.001981,0.001981
83,3094.9,0.09783,0.87452,0.97562,0.49085,0.001882,0.001882,0.001882
84,3131.19,0.08658,0.87315,0.97562,0.48931,0.001783,0.001783,0.001783
85,3168,0.09376,0.87327,0.97625,0.48601,0.001684,0.001684,0.001684
86,3205.44,0.09048,0.87464,0.97587,0.4837,0.001585,0.001585,0.001585
87,3241.49,0.0927,0.87489,0.97625,0.48172,0.001486,0.001486,0.001486
88,3279.35,0.08305,0.87514,0.97687,0.48223,0.001387,0.001387,0.001387
89,3314.93,0.08486,0.87638,0.9765,0.48083,0.001288,0.001288,0.001288
90,3351.85,0.07998,0.87663,0.9765,0.4823,0.001189,0.001189,0.001189
91,3437.47,0.08315,0.87663,0.97625,0.48121,0.00109,0.00109,0.00109
92,3475.43,0.07796,0.87564,0.97587,0.48136,0.000991,0.000991,0.000991
93,3512.65,0.07929,0.87626,0.97587,0.48094,0.000892,0.000892,0.000892
94,3551.36,0.08542,0.87763,0.97612,0.47964,0.000793,0.000793,0.000793
95,3589.63,0.075,0.87875,0.97674,0.47994,0.000694,0.000694,0.000694
96,3627.55,0.08313,0.87924,0.97687,0.47879,0.000595,0.000595,0.000595
97,3666.09,0.07301,0.87962,0.97699,0.47823,0.000496,0.000496,0.000496
98,3704.09,0.07413,0.87974,0.97687,0.4768,0.000397,0.000397,0.000397
99,3741.82,0.07658,0.87974,0.97724,0.47582,0.000298,0.000298,0.000298
100,3780.11,0.07296,0.87974,0.97699,0.47717,0.000199,0.000199,0.000199
